timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1695071495538,3243,view block times,200,OK,Thread Group 1-930,text,true,,218,342,1888,1888,http://34.159.148.128/api/Appointment/blocktime?resourceName=mangoco,3243,0,0
1695071497525,1258,view available,200,OK,Thread Group 1-1322,text,true,,218,401,1887,1887,http://34.159.148.128/api/Appointment/availableSlots?resourceName=mangoco&serviceName=manga-collecting&date=2023-09-22T11:30:48,1258,0,0
1695071497998,788,login,200,OK,Thread Group 1-2385,text,true,,327,288,1888,1888,http://34.159.148.128/api/Account/login,788,0,192
1695071496330,2458,login,200,OK,Thread Group 1-1830,text,true,,327,288,1890,1890,http://34.159.148.128/api/Account/login,2458,0,180
1695071498173,616,view available,200,OK,Thread Group 1-451,text,true,,218,401,1890,1890,http://34.159.148.128/api/Appointment/availableSlots?resourceName=mangoco&serviceName=manga-collecting&date=2023-09-22T11:30:48,616,0,0
1695071497549,1240,login,200,OK,Thread Group 1-2236,text,true,,327,288,1890,1890,http://34.159.148.128/api/Account/login,1240,0,1127
1695071498680,110,view books,200,OK,Thread Group 1-1864,text,true,,276,381,1890,1890,http://34.159.148.128/api/Appointment/bookedAppointements?resourceName=mangoco&serviceName=manga-collecting,110,0,0
1695071495546,3245,login,200,OK,Thread Group 1-1569,text,true,,327,288,1890,1890,http://34.159.148.128/api/Account/login,3245,0,3141
1695071498688,107,view available,200,OK,Thread Group 1-2473,text,true,,218,401,1891,1891,http://34.159.148.128/api/Appointment/availableSlots?resourceName=mangoco&serviceName=manga-collecting&date=2023-09-22T11:30:48,107,0,0
1695071498188,608,get services,200,OK,Thread Group 1-1984,text,true,,244,323,1892,1892,http://34.159.148.128/api/Service/get?companyId=3,607,0,0
1695071498689,108,view block times,200,OK,Thread Group 1-1659,text,true,,218,342,1892,1892,http://34.159.148.128/api/Appointment/blocktime?resourceName=mangoco,108,0,0
1695071494211,4587,login,200,OK,Thread Group 1-1124,text,true,,327,288,1891,1891,http://34.159.148.128/api/Account/login,4587,0,3183
1695071497069,1730,view block times,200,OK,Thread Group 1-1495,text,true,,218,342,1892,1892,http://34.159.148.128/api/Appointment/blocktime?resourceName=mangoco,1730,0,0
1695071498305,495,get services,200,OK,Thread Group 1-1543,text,true,,244,323,1891,1891,http://34.159.148.128/api/Service/get?companyId=3,495,0,0
